route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,BUS,Luxembourg (LU) -- Ettelbruck (LU),,700,,,
10,NMBS/SNCB,BUS,Termonde -- Schellebelle,,700,,,
100,NMBS/SNCB,BUS,Yvoir -- Gendron-Celles,,700,,,
101,NMBS/SNCB,BUS,Dinant -- Yvoir,,700,,,
102,NMBS/SNCB,BUS,Mons -- Saint-Ghislain,,700,,,
103,NMBS/SNCB,BUS,Mons -- Quévy,,700,,,
104,NMBS/SNCB,BUS,Tournai -- Ath,,700,,,
105,NMBS/SNCB,BUS,Hal -- Ath,,700,,,
106,NMBS/SNCB,BUS,Enghien -- Ath,,700,,,
107,NMBS/SNCB,BUS,La Louvière-Sud -- Braine-le-Comte,,700,,,
108,NMBS/SNCB,BUS,Charleroi-Central -- Tamines,,700,,,
109,NMBS/SNCB,BUS,Hal -- Tournai,,700,,,
11,NMBS/SNCB,BUS,Deinze -- Courtrai,,700,,,
110,NMBS/SNCB,BUS,Saint-Ghislain -- Tournai,,700,,,
111,NMBS/SNCB,BUS,Charleroi-Central -- Fleurus,,700,,,
112,NMBS/SNCB,BUS,Mons -- La Louvière-Sud,,700,,,
113,NMBS/SNCB,BUS,Châtelet -- Tamines,,700,,,
114,NMBS/SNCB,BUS,Charleroi-Central -- Couvin,,700,,,
115,NMBS/SNCB,BUS,La Louvière-Centre -- La Louvière-Sud,,700,,,
116,NMBS/SNCB,BUS,Mons -- Braine-le-Comte,,700,,,
117,NMBS/SNCB,BUS,Mouscron -- Courtrai,,700,,,
118,NMBS/SNCB,BUS,La Louvière-Sud -- Tournai,,700,,,
119,NMBS/SNCB,BUS,Braine-le-Comte -- Saint-Ghislain,,700,,,
12,NMBS/SNCB,BUS,Audenarde -- Courtrai,,700,,,
120,NMBS/SNCB,BUS,Bruxelles-Midi -- Ath,,700,,,
121,NMBS/SNCB,BUS,Tournai -- Mouscron,,700,,,
122,NMBS/SNCB,BUS,Luttre -- Manage,,700,,,
123,NMBS/SNCB,BUS,La Louvière-Centre -- Manage,,700,,,
124,NMBS/SNCB,BUS,Binche -- Braine-le-Comte,,700,,,
125,NMBS/SNCB,BUS,Lille Flandres (FR) -- Tournai,,700,,,
126,NMBS/SNCB,BUS,La Louvière-Sud -- Manage,,700,,,
127,NMBS/SNCB,BUS,Mariembourg -- Couvin,,700,,,
128,NMBS/SNCB,IC,Bruxelles-Nord -- Bruxelles-Midi,,103,,,
129,NMBS/SNCB,BUS,Lierre -- Aarschot,,700,,,
13,NMBS/SNCB,BUS,Malines -- Termonde,,700,,,
130,NMBS/SNCB,BUS,Lierre -- Louvain,,700,,,
131,NMBS/SNCB,BUS,Anvers-Central -- Aarschot,,700,,,
132,NMBS/SNCB,BUS,Anvers-Noorderdokken -- Kapellen,,700,,,
133,NMBS/SNCB,BUS,Beauraing -- Bertrix,,700,,,
134,NMBS/SNCB,BUS,Rochefort-Jemelle -- Ciney,,700,,,
135,NMBS/SNCB,BUS,Liège-Guillemins -- Visé,,700,,,
