route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,82____:049::8200120:8200100:3:1313:20241103,Luxembourg (LU),10186,,1,,1
2,000002,87____:049::8728600:8889011:5:715:20241116,Courtrai,11000,,2,,1
2,000002,88____:049::8889011:8896008:3:748:20241116,Courtrai,11000,,2,,1
3,000003,88____:049::8894201:8893401:3:730:20241027,Termonde,11000,,3,,1
4,000004,88____:049::8892007:8896008:6:2516:20241121,Courtrai,11000,,4,,1
5,000005,88____:049::8895208:8895802:9:649:20241201,Denderleeuw,11000,,5,,1
6,000006,88____:049::8892007:8891009:10:2438:20241101,Bruges,11000,,6,,1
7,000007,88____:049::8892908:8892601:2:925:20241126,Audenarde,11000,,7,,1
8,000008,88____:049::8891009:8891660:5:654:20241020,Knokke,11000,,8,,1
9,000009,88____:049::8896008:8896735:8:843:20241208,Poperinge,11000,,9,,1
10,000010,88____:049::8893542:8893401:5:752:20241110,Termonde,11000,,10,,1
11,000011,88____:049::8892106:8896008:4:2427:20241212,Courtrai,11000,,11,,1
2,000002,87____:049::8728600:8889011:5:815:20241116,Courtrai,11001,,12,,1
2,000002,88____:049::8889011:8896008:3:848:20241116,Courtrai,11001,,12,,1
3,000003,88____:049::8894201:8893401:3:830:20241027,Termonde,11001,,13,,1
5,000005,88____:049::8895208:8895802:9:749:20241201,Denderleeuw,11001,,14,,1
7,000007,88____:049::8892908:8892601:2:1025:20241126,Audenarde,11001,,15,,1
8,000008,88____:049::8891009:8891660:5:825:20241020,Knokke,11001,,16,,1
6,000012,88____:049::8892007:8891009:10:2537:20241025,Bruges,11001,,17,,1
6,000013,88____:049::8892007:8891009:10:2423:20241031,Bruges,11001,,18,,1
9,000009,88____:049::8896008:8896735:8:943:20241208,Poperinge,11001,,19,,1
10,000010,88____:049::8893542:8893401:5:852:20241110,Termonde,11001,,20,,1
11,000011,88____:049::8892106:8896008:4:2458:20241212,Courtrai,11001,,21,,1
2,000014,87____:049::8728600:8889011:5:915:20241117,Courtrai,11002,,22,,1
2,000014,88____:049::8889011:8896008:3:948:20241117,Courtrai,11002,,22,,1
3,000003,88____:049::8894201:8893401:3:930:20241027,Termonde,11002,,23,,1
5,000005,88____:049::8895208:8895802:9:849:20241201,Denderleeuw,11002,,24,,1
7,000007,88____:049::8892908:8892601:2:1125:20241126,Audenarde,11002,,25,,1
12,000011,88____:049::8892601:8896008:4:2421:20241212,Courtrai,11002,,26,,1
6,000015,88____:049::8892007:8891009:10:2447:20241101,Bruges,11002,,27,,1
8,000008,88____:049::8891009:8891660:5:925:20241020,Knokke,11002,,28,,1
6,000012,88____:049::8892007:8891009:10:2423:20241025,Bruges,11002,,29,,1
9,000009,88____:049::8896008:8896735:8:1043:20241208,Poperinge,11002,,30,,1
10,000010,88____:049::8893542:8893401:5:952:20241110,Termonde,11002,,31,,1
2,000014,87____:049::8728600:8889011:5:1015:20241117,Courtrai,11003,,32,,1
2,000014,88____:049::8889011:8896008:3:1048:20241117,Courtrai,11003,,32,,1
5,000005,88____:049::8895208:8895802:9:949:20241201,Denderleeuw,11003,,33,,1
3,000003,88____:049::8894201:8893401:3:1030:20241027,Termonde,11003,,34,,1
7,000007,88____:049::8892908:8892601:2:1225:20241126,Audenarde,11003,,35,,1
8,000008,88____:049::8891009:8891660:5:1025:20241020,Knokke,11003,,36,,1
9,000009,88____:049::8896008:8896735:8:1143:20241208,Poperinge,11003,,37,,1
6,000015,88____:049::8892007:8891009:10:2541:20241101,Bruges,11003,,38,,1
10,000010,88____:049::8893542:8893401:5:1052:20241110,Termonde,11003,,39,,1
13,000012,88____:049::8822004:8893401:7:2456:20241025,Termonde,11003,,40,,1
2,000014,87____:049::8728600:8889011:5:1115:20241117,Courtrai,11004,,41,,1
2,000014,88____:049::8889011:8896008:3:1148:20241117,Courtrai,11004,,41,,1
3,000003,88____:049::8894201:8893401:3:1130:20241027,Termonde,11004,,42,,1
5,000005,88____:049::8895208:8895802:9:1049:20241201,Denderleeuw,11004,,43,,1
7,000007,88____:049::8892908:8892601:2:1325:20241126,Audenarde,11004,,44,,1
6,000016,88____:049::8892007:8891009:10:125:20241101,Bruges,11004,,45,,1
8,000008,88____:049::8891009:8891660:5:1125:20241020,Knokke,11004,,46,,1
9,000009,88____:049::8896008:8896735:8:1243:20241208,Poperinge,11004,,47,,1
10,000010,88____:049::8893542:8893401:5:1152:20241110,Termonde,11004,,48,,1
2,000014,87____:049::8728600:8889011:5:1215:20241117,Courtrai,11005,,49,,1
2,000014,88____:049::8889011:8896008:3:1248:20241117,Courtrai,11005,,49,,1
3,000003,88____:049::8894201:8893401:3:1230:20241027,Termonde,11005,,50,,1
5,000005,88____:049::8895208:8895802:9:1149:20241201,Denderleeuw,11005,,51,,1
8,000008,88____:049::8891009:8891660:5:1225:20241020,Knokke,11005,,52,,1
9,000009,88____:049::8896008:8896735:8:1343:20241208,Poperinge,11005,,53,,1
6,000017,88____:049::8891009:8892007:10:2523:20241101,Gand-Saint-Pierre,11005,,54,,1
10,000010,88____:049::8893542:8893401:5:1252:20241110,Termonde,11005,,55,,1
7,000007,88____:049::8892908:8892601:2:1359:20241126,Audenarde,11005,,56,,1
2,000014,87____:049::8728600:8889011:5:1315:20241117,Courtrai,11006,,57,,1
2,000014,88____:049::8889011:8896008:3:1348:20241117,Courtrai,11006,,57,,1
3,000003,88____:049::8894201:8893401:3:1330:20241027,Termonde,11006,,58,,1
5,000005,88____:049::8895208:8895802:9:1249:20241201,Denderleeuw,11006,,59,,1
7,000007,88____:049::8892908:8892601:2:1425:20241126,Audenarde,11006,,60,,1
8,000008,88____:049::8891009:8891660:5:1325:20241020,Knokke,11006,,61,,1
9,000009,88____:049::8896008:8896735:8:1443:20241208,Poperinge,11006,,62,,1
14,000013,88____:049::8895505:8895802:10:456:20241031,Denderleeuw,11006,,63,,1
10,000010,88____:049::8893542:8893401:5:1352:20241110,Termonde,11006,,64,,1
2,000014,87____:049::8728600:8889011:5:1415:20241117,Courtrai,11007,,65,,1
2,000014,88____:049::8889011:8896008:3:1448:20241117,Courtrai,11007,,65,,1
